Original Stub Packed With UPX

Address   Disassembly                                                       String                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
0040D090  push installer_1vs100.4AC0C4                                      "unrecognized option: -%c\n"
0040D0F0  push installer_1vs100.4AC0A4                                      "option requires argument: -%c\n"
0040D10C  push installer_1vs100.4AC024                                      "internal error: please contact technical support.\n"
0040D470  mov eax,installer_1vs100.4AC114                                   "AmThread"
0040D8C1  mov edi,installer_1vs100.4AC170                                   "Cannot read stream"
0040D8C8  mov edi,installer_1vs100.4AC15C                                   "Cannot write stream"
0040D8CF  mov edi,installer_1vs100.4AC148                                   "Cannot close tag"
0040D8D6  mov edi,installer_1vs100.4AC138                                   "Tags not closed"
0040D8DD  mov edi,installer_1vs100.4AC120                                   "Unknown exception code"
0040D930  mov eax,installer_1vs100.4AC1F4                                   "AmStream"
0040DAF0  mov eax,installer_1vs100.4AC218                                   "AmFile"
0040DC2A  mov ebp,installer_1vs100.4AC120                                   "Unknown exception code"
0040DC31  mov ebp,installer_1vs100.4AC194                                   "Cannot open file"
0040DC38  mov ebp,installer_1vs100.4AC184                                   "Invalid handle"
0040DD1D  push installer_1vs100.4AC138                                      "Tags not closed"
0040EB4B  push installer_1vs100.4AC148                                      "Cannot close tag"
0040ED91  push installer_1vs100.4AC240                                      "Empty file name"
0040EFC7  push installer_1vs100.4AC148                                      "Cannot close tag"
0040F34B  push installer_1vs100.4AC1A8                                      "list<T> too long"
0040FB90  mov eax,installer_1vs100.4AC288                                   "AmPath"
0040FC78  push installer_1vs100.4AC290                                      "Could not compare file names from different file systems"
0040FFAA  push installer_1vs100.4AC2D4                                      "\\\\?\\"
0041033A  push installer_1vs100.4AC2D4                                      "\\\\?\\"
00410C45  mov dword ptr ss:[esp+30],installer_1vs100.4AC308                 "bad locale name"
00410F01  push installer_1vs100.4AC318                                      "bad cast"
004112D0  mov eax,installer_1vs100.4AC33C                                   "AmPathUtils"
00411423  push installer_1vs100.4AC348                                      "Could not retrieve a temporal path"
004115B8  push installer_1vs100.4ABC5C                                      "vector<T> too long"
004116D8  push installer_1vs100.4ABC5C                                      "vector<T> too long"
004118F9  push installer_1vs100.4ABC5C                                      "vector<T> too long"
00411979  push installer_1vs100.4ABC5C                                      "vector<T> too long"
00411FBB  push installer_1vs100.4AC36C                                      ".."
00412003  push installer_1vs100.4AC36C                                      ".."
00412433  push installer_1vs100.4AC3A0                                      "Cannot combine 'Path' + 'Absolute Path'"
004124D3  push installer_1vs100.4AC374                                      "Cannot combine paths on different drives"
00412AA1  mov eax,1F0000                                                    L"athan"
00412E95  push installer_1vs100.4AC3C8                                      "Cannot get current working directory"
0041324C  push installer_1vs100.4AC3F0                                      "amtemp-"
